CODE,Name,Qty,Unit
C1-01-0000,បង់រុំ,1,ដុំ
C1-02-0000,បង់ស្កុត,1,ដុំ
C1-03-0000,ស្កុតរុំម្ហូប,1,ដុំ
C1-04-0000,ស្រោមសំបុត្រ,1,ដុំ
,ក្រដាសពណ៌បៃតង,2,ដុំ
C1-05-0001,ក្រដាសពណ៌បៃតង,1,ដុំ
C1-05-0002,ក្រដាសពណ៌បៃតង,1,ដុំ
,ក្រដាសរឹង250g,2,ដុំ
C1-06-0001,ក្រដាសរឹង250g,1,ដុំ
C1-06-0002,ក្រដាសរឹង250g,1,ដុំ
,ខ្សែនីឡុង ពណ៌ស,2,ដុំ
C1-07-0001,ខ្សែនីឡុង ពណ៌ស,1,ដុំ
C1-07-0002,ខ្សែនីឡុង ពណ៌ស,1,ដុំ
,ខ្សែភ្លើង,2,ដុំ
C1-08-0001,ខ្សែភ្លើង,1,ដុំ
C1-08-0002,ខ្សែភ្លើង,1,ដុំ
,សំឡីដុំធំ,2,ដុំ
C1-09-0001,សំឡីដុំធំ,1,ដុំ
C1-09-0002,សំឡីដុំធំ,1,ដុំ
,ស្កុតបិទផ្លូវ,2,ដុំ
C1-10-0001,ស្កុតបិទផ្លូវ,1,ដុំ
C1-10-0002,ស្កុតបិទផ្លូវ,1,ដុំ
,ក្រដាសពណ៌ចម្រុះ (ក្នុងថង់ស),3,ដុំ
C1-11-0001,ក្រដាសពណ៌ចម្រុះ (ក្នុងថង់ស),1,ដុំ
C1-11-0002,ក្រដាសពណ៌ចម្រុះ (ក្នុងថង់ស),1,ដុំ
C1-11-0003,ក្រដាសពណ៌ចម្រុះ (ក្នុងថង់ស),1,ដុំ
,ស្កុតមុខ២ធំ,3,ដុំ
C1-12-0001,ស្កុតមុខ២ធំ,1,ដុំ
C1-12-0002,ស្កុតមុខ២ធំ,1,ដុំ
C1-12-0003,ស្កុតមុខ២ធំ,1,ដុំ
,ខ្សែZip,4,ដុំ
C1-13-0001,ខ្សែZip,1,ដុំ
C1-13-0002,ខ្សែZip,1,ដុំ
C1-13-0003,ខ្សែZip,1,ដុំ
C1-13-0004,ខ្សែZip,1,ដុំ
,ក្រដាសA4,5,ដុំ
C1-14-0001,ក្រដាសA4,1,ដុំ
C1-14-0002,ក្រដាសA4,1,ដុំ
C1-14-0003,ក្រដាសA4,1,ដុំ
C1-14-0004,ក្រដាសA4,1,ដុំ
C1-14-0005,ក្រដាសA4,1,ដុំ
,ក្រដាសជូតមាត់ដុំធំ,5,ដុំ
C1-15-0001,ក្រដាសជូតមាត់ដុំធំ,1,ដុំ
C1-15-0002,ក្រដាសជូតមាត់ដុំធំ,1,ដុំ
C1-15-0003,ក្រដាសជូតមាត់ដុំធំ,1,ដុំ
C1-15-0004,ក្រដាសជូតមាត់ដុំធំ,1,ដុំ
C1-15-0005,ក្រដាសជូតមាត់ដុំធំ,1,ដុំ
,ស្កុតមុខ២តូច,5,ដុំ
C1-16-0001,ស្កុតមុខ២តូច,1,ដុំ
C1-16-0002,ស្កុតមុខ២តូច,1,ដុំ
C1-16-0003,ស្កុតមុខ២តូច,1,ដុំ
C1-16-0004,ស្កុតមុខ២តូច,1,ដុំ
C1-16-0005,ស្កុតមុខ២តូច,1,ដុំ
,,ដុំ
,ក្រដាសពណ៌ចម្រុះ (ថ្មី),8,ដុំ
C1-17-0001,ក្រដាសពណ៌ចម្រុះ (ថ្មី),1,ដុំ
C1-17-0002,ក្រដាសពណ៌ចម្រុះ (ថ្មី),1,ដុំ
C1-17-0003,ក្រដាសពណ៌ចម្រុះ (ថ្មី),1,ដុំ
C1-17-0004,ក្រដាសពណ៌ចម្រុះ (ថ្មី),1,ដុំ
C1-17-0005,ក្រដាសពណ៌ចម្រុះ (ថ្មី),1,ដុំ
C1-17-0006,ក្រដាសពណ៌ចម្រុះ (ថ្មី),1,ដុំ
C1-17-0007,ក្រដាសពណ៌ចម្រុះ (ថ្មី),1,ដុំ
C1-17-0008,ក្រដាសពណ៌ចម្រុះ (ថ្មី),1,ដុំ
,ស្កុតក្រដាសធំ,8,ដុំ
C1-18-0001,ស្កុតក្រដាសធំ,1,ដុំ
C1-18-0002,ស្កុតក្រដាសធំ,1,ដុំ
C1-18-0003,ស្កុតក្រដាសធំ,1,ដុំ
C1-18-0004,ស្កុតក្រដាសធំ,1,ដុំ
C1-18-0005,ស្កុតក្រដាសធំ,1,ដុំ
C1-18-0006,ស្កុតក្រដាសធំ,1,ដុំ
C1-18-0007,ស្កុតក្រដាសធំ,1,ដុំ
C1-18-0008,ស្កុតក្រដាសធំ,1,ដុំ
,សំឡីដុំតូច,9,ដុំ
C1-19-0001,សំឡីដុំតូច,1,ដុំ
C1-19-0002,សំឡីដុំតូច,1,ដុំ
C1-19-0003,សំឡីដុំតូច,1,ដុំ
C1-19-0004,សំឡីដុំតូច,1,ដុំ
C1-19-0005,សំឡីដុំតូច,1,ដុំ
C1-19-0006,សំឡីដុំតូច,1,ដុំ
C1-19-0007,សំឡីដុំតូច,1,ដុំ
C1-19-0008,សំឡីដុំតូច,1,ដុំ
C1-19-0009,សំឡីដុំតូច,1,ដុំ
,ស្កុតរុំខ្សែភ្លើង(ក្រហម),10,ដុំ
C1-20-0001,ស្កុតរុំខ្សែភ្លើង(ក្រហម),1,ដុំ
C1-20-0002,ស្កុតរុំខ្សែភ្លើង(ក្រហម),1,ដុំ
C1-20-0003,ស្កុតរុំខ្សែភ្លើង(ក្រហម),1,ដុំ
C1-20-0004,ស្កុតរុំខ្សែភ្លើង(ក្រហម),1,ដុំ
C1-20-0005,ស្កុតរុំខ្សែភ្លើង(ក្រហម),1,ដុំ
C1-20-0006,ស្កុតរុំខ្សែភ្លើង(ក្រហម),1,ដុំ
C1-20-0007,ស្កុតរុំខ្សែភ្លើង(ក្រហម),1,ដុំ
C1-20-0008,ស្កុតរុំខ្សែភ្លើង(ក្រហម),1,ដុំ
C1-20-0009,ស្កុតរុំខ្សែភ្លើង(ក្រហម),1,ដុំ
C1-20-0010,ស្កុតរុំខ្សែភ្លើង(ក្រហម),1,ដុំ
,ស្កុតក្រដាសតូច,12,ដុំ
C1-21-0001,ស្កុតក្រដាសតូច,1,ដុំ
C1-21-0002,ស្កុតក្រដាសតូច,1,ដុំ
C1-21-0003,ស្កុតក្រដាសតូច,1,ដុំ
C1-21-0004,ស្កុតក្រដាសតូច,1,ដុំ
C1-21-0005,ស្កុតក្រដាសតូច,1,ដុំ
C1-21-0006,ស្កុតក្រដាសតូច,1,ដុំ
C1-21-0007,ស្កុតក្រដាសតូច,1,ដុំ
C1-21-0008,ស្កុតក្រដាសតូច,1,ដុំ
C1-21-0009,ស្កុតក្រដាសតូច,1,ដុំ
C1-21-0010,ស្កុតក្រដាសតូច,1,ដុំ
C1-21-0011,ស្កុតក្រដាសតូច,1,ដុំ
C1-21-0012,ស្កុតក្រដាសតូច,1,ដុំ
,ស្កុតថ្លា,14,ដុំ
C1-22-0001,ស្កុតថ្លា,1,ដុំ
C1-22-0002,ស្កុតថ្លា,1,ដុំ
C1-22-0003,ស្កុតថ្លា,1,ដុំ
C1-22-0004,ស្កុតថ្លា,1,ដុំ
C1-22-0005,ស្កុតថ្លា,1,ដុំ
C1-22-0006,ស្កុតថ្លា,1,ដុំ
C1-22-0007,ស្កុតថ្លា,1,ដុំ
C1-22-0008,ស្កុតថ្លា,1,ដុំ
C1-22-0009,ស្កុតថ្លា,1,ដុំ
C1-22-0010,ស្កុតថ្លា,1,ដុំ
C1-22-0011,ស្កុតថ្លា,1,ដុំ
C1-22-0012,ស្កុតថ្លា,1,ដុំ
C1-22-0013,ស្កុតថ្លា,1,ដុំ
C1-22-0014,ស្កុតថ្លា,1,ដុំ
,ស្កុតក្រហម,26,ដុំ
C1-23-0001,ស្កុតក្រហម,1,ដុំ
C1-23-0002,ស្កុតក្រហម,1,ដុំ
C1-23-0003,ស្កុតក្រហម,1,ដុំ
C1-23-0004,ស្កុតក្រហម,1,ដុំ
C1-23-0005,ស្កុតក្រហម,1,ដុំ
C1-23-0006,ស្កុតក្រហម,1,ដុំ
C1-23-0007,ស្កុតក្រហម,1,ដុំ
C1-23-0008,ស្កុតក្រហម,1,ដុំ
C1-23-0009,ស្កុតក្រហម,1,ដុំ
C1-23-0010,ស្កុតក្រហម,1,ដុំ
C1-23-0011,ស្កុតក្រហម,1,ដុំ
C1-23-0012,ស្កុតក្រហម,1,ដុំ
C1-23-0013,ស្កុតក្រហម,1,ដុំ
C1-23-0014,ស្កុតក្រហម,1,ដុំ
C1-23-0015,ស្កុតក្រហម,1,ដុំ
C1-23-0016,ស្កុតក្រហម,1,ដុំ
C1-23-0017,ស្កុតក្រហម,1,ដុំ
C1-23-0018,ស្កុតក្រហម,1,ដុំ
C1-23-0019,ស្កុតក្រហម,1,ដុំ
C1-23-0020,ស្កុតក្រហម,1,ដុំ
C1-23-0021,ស្កុតក្រហម,1,ដុំ
C1-23-0022,ស្កុតក្រហម,1,ដុំ
C1-23-0023,ស្កុតក្រហម,1,ដុំ
C1-23-0024,ស្កុតក្រហម,1,ដុំ
C1-23-0025,ស្កុតក្រហម,1,ដុំ
C1-23-0026,ស្កុតក្រហម,1,ដុំ
,ស្កុតខ្មៅ,34,ដុំ
