CODE,Name,Qty,Unit
C1-01-0001,បង់រុំ,1,ដុំ
C1-02-0001,បង់ស្កុត,1,ដុំ
C1-03-0001,ស្កុតរុំម្ហូប,1,ដុំ
C1-04-0001,ស្រោមសំបុត្រ,1,ដុំ
C1-05-0001,ក្រដាសពណ៌បៃតង,1,ដុំ
C1-06-0001,ក្រដាសរឹង250g,1,ដុំ
C1-07-0001,ខ្សែនីឡុង ពណ៌ស,1,ដុំ
C1-08-0001,ខ្សែភ្លើង,1,ដុំ
C1-09-0001,សំឡីដុំធំ,1,ដុំ
C1-10-0001,ស្កុតបិទផ្លូវ,1,ដុំ
C1-11-0001,ក្រដាសពណ៌ចម្រុះ (ក្នុងថង់ស),1,ដុំ
C1-12-0001,ស្កុតមុខ២ធំ,1,ដុំ
C1-13-0001,ខ្សែZip,1,ដុំ
C1-14-0001,ក្រដាសA4,1,ដុំ
C1-15-0001,ក្រដាសជូតមាត់ដុំធំ,1,ដុំ
C1-16-0001,ស្កុតមុខ២តូច,1,ដុំ
C1-17-0001,ក្រដាសពណ៌ចម្រុះ (ថ្មី),1,ដុំ
C1-18-0001,ស្កុតក្រដាសធំ,1,ដុំ
C1-19-0001,សំឡីដុំតូច,1,ដុំ
C1-20-0001,ស្កុតរុំខ្សែភ្លើង(ក្រហម),1,ដុំ
C1-21-0001,ស្កុតក្រដាសតូច,1,ដុំ
C1-22-0001,ស្កុតថ្លា,1,ដុំ
C1-23-0001,ស្កុតក្រហម,1,ដុំ
C1-25-0001,ស្កុតខ្មៅមុខ២,1,ដុំ
C2-01-0001,កាំភ្លើងបាញ់កាវ,1,ដើម
C2-02-0001,កាំបិតឆូតធំ,1,ដើម
C2-03-0001,ហ្វឺតខ្មៅ,1,ដើម
C2-04-0001,កាវបាយម៉ាន (Glue) តូច,1,ដើម
C2-05-0001,កាំបិតឆូតតូច (ដែក),1,ដើម
C2-06-0001,កាំបិតចិតផ្លែឈើ,1,ដើម
C2-07-0001,កាវទឹក,1,ដើម
C2-08-0001,រណាតូច,1,ដើម
C2-09-0001,ដែកឈាន,1,
C2-10-0001,,1,
C2-11-0001,កាំភ្លើងបាញ់កាវតូច,1,ដើម
C2-12-0001,រណាអារ,1,ដើម
C2-13-0001,កាំបិតឆូតតូច,1,ដើម
C2-14-0001,ដែកកេស,1,ដើម
C2-15-0001,កន្ត្រៃកាត់ស្មៅ,1,ដើម
C2-16-0001,កន្ត្រៃ,1,ដើម
C2-17-0001,កាំភ្លើងបាញ់កាវធំ,1,ដើម
C2-18-0001,ប៊ិច,1,ដើម
C2-19-0001,កាវបាយម៉ាន (Glue) ធំ,1,ដើម
C2-20-0001,គូល័ររាយ,1,ដើម
C2-21-0001,កាវបាយម៉ាន (Glue),1,ដើម
C3-01-0001,គូល័រឈើ ២៤ដើម,1,ប្រអប់
C3-02-0001,ប្រអប់ផ្កាយផ្កាឈូក,1,ប្រអប់
C3-03-0001,អង្កាំ,1,ប្រអប់
C3-04-0001,ប្រអប់ល្ពៅ,1,ប្រអប់
C3-05-0001,គូល័រហ្វឺត ១២ដើម,1,ប្រអប់
C3-06-0001,ម៉ាស,1,ប្រអប់
C3-07-0001,ធូបមូស,1,ប្រអប់
C3-08-0001,ប្រអប់អត់គម្រប,1,ប្រអប់
C3-09-0001,គ្រាប់កិបតូច,1,ប្រអប់
C3-10-0001,គូល័រឈើ ១២ដើម,1,ប្រអប់
C3-11-0001,,1,ប្រអប់
C3-12-0001,គ្រាប់កិបធំ,1,ប្រអប់
C4-01-0001,ថ្នាំបាញ់ពណ៌ ផ្ទៃមេឃ,1,កំប៉ុង
C4-02-0001,ថ្នាំបាញ់ពណ៌ ខៀវ,1,កំប៉ុង
C4-03-0001,ថ្នាំបាញ់ពណ៌ ក្រហម,1,កំប៉ុង
C4-04-0001,ថ្នាំបាញ់ពណ៌ ខ្មៅ,1,កំប៉ុង
C4-05-0001,ថ្នាំបាញ់ពណ៌ ខៀវចាស់,1,កំប៉ុង
C4-06-0001,ថ្នាំបាញ់ពណ៌ បៃតង,1,កំប៉ុង
C4-07-0001,កាវ ATM,1,កំប៉ុង
